name,description,designer,artist,publisher,min_players,max_players,min_playtime,max_playtime,playing_time,min_age,complexity_rating,user_ratings,user_comments,type,category,mechanism,family,year,average_rating
Wingspan: European Expansion,Travel across Europe to find new birds with new abilities!,Elizabeth Hargrave,"Ana Maria Martinez Jaramillo, Natalia Rojas, Beth Sobel",Stonemaier Games + 21 more,1.0,5.0,40.0,70.0,55.0,10.0,2.42,14000,1900,Strategy,"Expansion for Base-game, + 3 more","Dice Rolling, End Game Bonuses, Hand Management, Open Drafting, Set Collection","Animals: Birds, Digital Implementations: Tabletopia, Game: Wingspan, Organizations: Automa Factory, Theme: Nature",2019,8.4
Conversion,Add a Brief Description,Nicolas Desaulniers-Soucy,Yannick Bouchard,(Self-Published),4.0,12.0,30.0,90.0,60.0,14.0,,3,3,Uncategorized,"Fantasy, Medieval, Party Game, Zombies","Action Points, Alliances, Deduction, Elapsed Real Time Ending, Hidden Roles, + 4 more",,2019,7.8
World War Africa: The Congo 1998-2001,"All out war in Central Africa, 1998-2001.",Javier Romero,"Noelle Le Bienvenu, Joe Youst",Decision Games (I),1.0,2.0,,,,,3.0,24,24,Wargames,"Modern Warfare, Wargame","Chit-Pull System, Dice Rolling, Hexagon Grid, Simulation","Continents: Africa, Country: Angola, Country: Democratic Republic of the Congo, Country: Rwanda, Country: Tanzania, Country: Uganda, + 2 more",2021,7.9
Westphalia,The diplomatic negotiations & military campaigns that ended the 30 & 80 Years War.,Amabel Holland,"Amabel Holland, Mark Mahaffey",Hollandspiele,6.0,6.0,120.0,120.0,120.0,,3.13,122,46,Wargames,"Negotiation, Pike and Shot, Print & Play, Wargame","Area Movement, Dice Rolling, Negotiation, Simulation, Variable Player Powers","Country: Austria, Country: France, Country: Germany, Country: Netherlands, Country: Spain, Country: Sweden, + 3 more",2019,7.0
Banana Bandido,"Collect banana generators and stick stealers, but don't grab the baboon's butt!",Michael Loth,Michael Loth,Mogel-Verlag + 1 more,2.0,5.0,15.0,30.0,22.5,9.0,1.5,53,4,Uncategorized,"Fighting, Humor","Card Play Conflict Resolution, Contracts, Open Drafting",,2019,5.7
Sub Terra: Incubation,Scavenge eggs but avoid the gathering swarm.,Tim Pinder,Diana Franco Campos,Inside the Box Board Games LLP (ITB) + 2 more,1.0,6.0,45.0,60.0,52.5,10.0,,34,32,Uncategorized,"Expansion for Base-game, Exploration, Horror, Maze","Action Points, Cooperative Game, Grid Movement, Network and Route Building, Push Your Luck, + 2 more","Admin: Upcoming Releases, Crowdfunding: Kickstarter, Game: Sub Terra, Misc: LongPack Games",2023,7.2
Underground Panic,Add a Brief Description,Pierrot,Zoltán Nagy,Piatnik,2.0,4.0,45.0,60.0,52.5,8.0,1.8,34,10,Uncategorized,"Animals, Collectible Components","Deck, Bag, and Pool Building, End Game Bonuses, Point to Point Movement, Race, Semi-Cooperative Game",,2019,6.4
Rise of an Emperor: Worlds in Conflict,Break the balance of power and rule a ruined Earth.,Alberto Puertas (Skryre),Javier Roa González,4Dados,2.0,4.0,120.0,240.0,180.0,12.0,2.0,8,0,Uncategorized,"Card Game, Civilization, Science Fiction, Space Exploration","Hand Management, Variable Player Powers, Variable Set-up, Worker Placement",Admin: Upcoming Releases,2020,7.8
Mint Condition Comics,Add a Brief Description,John Retterer-Moore,Max Prentis,neat games,2.0,6.0,20.0,60.0,40.0,7.0,1.5,83,20,Uncategorized,Card Game,"Open Drafting, Set Collection, Trading, Variable Player Powers",Crowdfunding: Kickstarter,2019,7.3
Lovelace & Babbage: Game Boy Geek Season 7 Patron Card,Add a Brief Description,Scott Almes,Heiko Günther,Artana,2.0,4.0,15.0,30.0,22.5,14.0,,1,5,Uncategorized,"Expansion for Base-game, + 4 more","Action Queue, Pattern Building, Push Your Luck, Set Collection, Variable Player Powers","Crowdfunding: Kickstarter, Historical Figures: Ada Lovelace, Promotional: Game Boy Geek, Promotional: Promo Cards",2019,1.0
City of Gears: Music Shop Promo Tile,Add a Brief Description,"Daryl Andrews, Chris Leder","Anthony Cournoyer, Chris Leder, Tyler Myatt",Grey Fox Games,2.0,4.0,45.0,60.0,52.5,8.0,,6,6,Uncategorized,"City Building, Dice, Expansion for Base-game","Area Majority / Influence, Dice Rolling, Modular Board, Take That, Worker Placement","Crowdfunding: Kickstarter, Mechanism: Tableau Building, Theme: Steampunk",2019,6.3
Muse: Game Boy Geek Season 7 Kickstarter Promo Card,Add a Brief Description,Jordan Sorenson,"Ciruelo, Apolline Etienne, Andre Garcia, Daniela Giubellini + 2 more",Quick Simple Fun Games,2.0,12.0,30.0,30.0,30.0,10.0,,2,2,Uncategorized,"Expansion for Base-game, + 3 more","Cooperative Game, Team-Based Game, Voting","Crowdfunding: Kickstarter, Promotional: Game Boy Geek, Promotional: Promo Cards",2019,7.5
Unsettled,A cooperative survival game in the bizarre and wondrous reaches of deep space.,"Tom Mattson, Marc Neidlinger","Bartek Fedyczak, Krista Zimmerman","Orange Nebula, LLC + 1 more",2.0,4.0,60.0,90.0,75.0,14.0,3.21,1800,629,Thematic,"Game System, Science Fiction, Space Exploration","Action Retrieval, Cooperative Game, Modular Board, Scenario / Mission / Campaign Game, Tech Trees / Tech Tracks, Variable Set-up","Components: Game Trayz Inside, Crowdfunding: Kickstarter, Theme: Survival",2021,8.1
Fields of Green: Dice Tower,Add a Brief Description,Vangelis Bagiartakis,"Grzegorz Bobrowski, Tomasz Jedruszek, Naomi Robinson",Artipia Games,2.0,4.0,45.0,45.0,45.0,12.0,,15,23,Uncategorized,"Card Game, City Building, Expansion for Base-game, Farming","Dice Rolling, Open Drafting, Simultaneous Action Selection, Tile Placement, Variable Phase Order","Crowdfunding: Kickstarter, Promotional: Dice Tower",2019,6.4
Football Highlights 2052: King Flutie Promo Card,Add a Brief Description,Mike Fitzgerald,Garrett Kaida,Eagle-Gryphon Games,1.0,4.0,45.0,60.0,52.5,9.0,,6,12,Uncategorized,"Card Game, Expansion for Base-game, Science Fiction, Sports","Deck, Bag, and Pool Building, Hand Management, Open Drafting","Crowdfunding: Kickstarter, Sports: American Football / Gridiron",2019,6.9
Alien Artifacts: Alien System Cards,Add a Brief Description,"Viola Kijowska, Marcin Senior Ropka","Evan Lee, Aleksandar Mihajlovic, Rafał Szyma",Portal Games,2.0,5.0,60.0,60.0,60.0,10.0,,11,10,Uncategorized,"Card Game, Expansion for Base-game, Science Fiction, Space Exploration","Hand Management, Open Drafting, Set Collection","Crowdfunding: Kickstarter, Mechanism: 4X",2019,8.1
ICECOOL: Artifacts,Add a Brief Description,Brian Gomez,Reinis Pētersons,Brain Games,2.0,4.0,30.0,30.0,30.0,6.0,,27,16,Uncategorized,"Action / Dexterity, Animals, Children's Game, Expansion for Base-game","Area Movement, Take That","Animals: Penguins, Crowdfunding: Kickstarter, Mechanism: Finger Flicking Games, Players: One versus Many",2019,7.0
Flip & Fish,Add a Brief Description,"Michael Bell, Dragos Nastasie","Michael Bell, Dragos Nastasie",Signature Board Games,2.0,4.0,5.0,30.0,17.5,10.0,1.0,33,23,Uncategorized,"Action / Dexterity, Card Game, Dice, Nautical, Party Game","Dice Rolling, Flicking, Hand Management","Animals: Fish / Fishes, Theme: Fishing / Angling",2019,8.9
Drop It: Scoring Variant Promo Cards,Add a Brief Description,"Bernhard Lach, Uwe Rapp",,KOSMOS,2.0,4.0,30.0,30.0,30.0,8.0,,10,14,Uncategorized,"Action / Dexterity, Expansion for Base-game",,Crowdfunding: Kickstarter,2019,6.6
