name,description,designer,artist,publisher,min_players,max_players,min_playtime,max_playtime,playing_time,min_age,complexity_rating,user_ratings,user_comments,type,category,mechanism,family,year,average_rating
Samurai,Dispute the favor of three different castes in order to unite Japan under your rule.,Reiner Knizia,Franz Vohwinkel,"Fantasy Flight Games, Hans im Glück + 15 more",2.0,4.0,30.0,60.0,45.0,10.0,2.47,16000,4000,Strategy,"Abstract Strategy, Medieval","Area Majority / Influence, Hand Management, Hexagon Grid, Once-Per-Game Abilities, Set Collection, Tile Placement","Components: Map (Continental / National scale), Country: Japan, Digital Implementations: Triqqy, Series: Euro Classics (Reiner Knizia), Series: Tile-Laying Trilogy (Reiner Knizia), Theme: Samurai",1998,7.5
Die Macher,Players represent political parties attempting to gain power in Germany.,Karl-Heinz Schmiel,"Bernd Brunnhofer, Marcus Gschwendtner, Harald Lieske","Hans im Glück, Moskito Spiele + 7 more",3.0,5.0,240.0,240.0,240.0,14.0,4.31,5700,2100,Strategy,"Economic, Negotiation, Political","Alliances, Area Majority / Influence, Auction/Bidding, Dice Rolling, Hand Management, Simultaneous Action Selection","Country: Germany, Digital Implementations: VASSAL, Political: Elections, Series: Classic Line (Valley Games)",1986,7.6
Dragonmaster,Fantasy factions face off in a trick-taking card game battle for plastic gems!,"G. W. ""Jerry"" D'Arcey",Bob Pepper,"E. S. Lowe Company Inc., Milton Bradley",3.0,4.0,30.0,30.0,30.0,12.0,1.96,588,320,Strategy,"Card Game, Fantasy",Trick-taking,"Components: Gems/Crystals, Creatures: Dragons, Theme: Art style – Art Nouveau",1981,6.6
Tal der Könige,Bid for colorful blocks to build pyramids in the Valley of the Kings.,Christian Beierer,Thomas di Paolo,KOSMOS,2.0,4.0,60.0,60.0,60.0,12.0,2.67,356,125,Strategy,Ancient,"Action Points, Area Majority / Influence, Auction/Bidding, Set Collection","Containers: Triangular Boxes, Country: Egypt, Promotional: Promo Board Games",1992,6.6
Cathedral,Outwit your opponent and play all your pieces first in this abstract city-builder.,Robert P. Moore,S. Mattusek,"Brightway Products Ltd, Falomir Juegos, Family Games, Inc., Gazebo Games UK Ltd. + 6 more",2.0,2.0,20.0,20.0,20.0,8.0,1.79,3600,1300,Abstract,"Abstract Strategy, Children's Game, City Building, Territory Building","Enclosure, Pattern Building, Pattern Recognition, Square Grid, Tile Placement","Category: Combinatorial, Components: 10 x 10 Grids, Components: Polyominoes, Components: Wooden pieces & boards, Players: Two Player Only Games",1978,6.5
Mare Mediterraneum,"Mediterranean empires vie for victory via trade, war and construction.",Jean du Poël,Jean du Poël,Historien Spiele Galerie (Historien Spielegalerie),2.0,6.0,240.0,240.0,240.0,12.0,3.0,85,32,Uncategorized,"Civilization, Nautical",Dice Rolling,"Containers: Tubes, Region: Mediterranean Sea",1989,6.5
Acquire,"Invest, divest, and stage hostile takeovers in this classic real estate game.",Sid Sackson,"Eric Hibbeler, Scott O'Gara, Scott Okumura, Peter Whitley","3M, The Avalon Hill Game Co + 11 more",2.0,6.0,90.0,90.0,90.0,12.0,2.5,20000,6200,Strategy,"Economic, Territory Building","Hand Management, Investment, Market, Square Grid, Stock Holding, + 2 more","Components: 9 x 12 Grids, Digital Implementations: VASSAL, Series: 3M Bookshelf Series",1963,7.3
Lords of Creation,"Work together to construct a world, then compete to settle and fight over it!",Martin Wallace,Bryan King,"Vendetta, Warfrog Games",2.0,5.0,120.0,120.0,120.0,12.0,2.4,210,93,Uncategorized,"Civilization, Fantasy",Modular Board,,1993,6.1
Bohnanza,"Farm beans, harvest crops and trade your way to fortune in this card game classic.",Uwe Rosenberg,"Fréderic Bertrand, Marek Bláha, Andrea Boekhoff, Klemens Franz + 13 more",AMIGO + 26 more,2.0,7.0,45.0,45.0,45.0,12.0,1.67,45000,9500,Family,"Card Game, Farming, Negotiation","Hand Management, Negotiation, Set Collection, Trading","Components: Multi-Use Cards, Game: Bohnanza, Series: Bean Games (Lookout)",1997,7.0
Elfenland,"Use elf transportation (dragon, cloud, raft, unicorn...) to visit the most cities.",Alan R. Moon,"Doris Matthäus, Alan R. Moon",AMIGO + 6 more,2.0,6.0,60.0,60.0,60.0,10.0,2.15,8800,2300,Family,"Fantasy, Travel","Hand Management, Network and Route Building, Open Drafting, Point to Point Movement","Creatures: Dragons, Creatures: Fairies / Elves / Pixies, Creatures: Trolls, Creatures: Unicorns, Digital Implementations: Board Game Arena, Game: Elfenroads",1998,6.7
El Caballero,Discover and control the new world by establishing influence on the edges of islands.,"Wolfgang Kramer, Richard Ulrich",Doris Matthäus,"999 Games, Hans im Glück, Rio Grande Games",2.0,4.0,90.0,90.0,90.0,13.0,3.18,1400,627,Strategy,Exploration,"Area Majority / Influence, Tile Placement",Game: El Grande,1998,6.5
Ra,Bid to acquire the most valuable sets of Egyptian artifacts and resources.,Reiner Knizia,"Allison Kline, Gahyun Lee, Ian O'Toole, Tiago Sousa, Franz Vohwinkel","alea, Ravensburger + 14 more",2.0,5.0,45.0,60.0,52.5,12.0,2.34,24000,6100,Strategy,"Ancient, Mythology","Auction: Once Around, Auction/Bidding, Closed Economy Auction, Constrained Bidding, Hidden Victory Points, + 2 more","Country: Egypt, Crowdfunding: Gamefound, Digital Implementations: Triqqy, Game: Ra, Misc: LongPack Games, Mythology: Egyptian, + 3 more",1999,7.6
Cosmic Encounter,Take on a unique alien race with a special power in an abstract battle for the galaxy,"Bill Eberle, Jack Kittredge, Bill Norton, Peter Olotka","John Blanche, Chris Ferguson, Anders Jeppsson, Dean Morrissey + 2 more",Eon + 7 more,2.0,6.0,90.0,90.0,90.0,12.0,2.37,4000,1700,"Strategy,  Thematic","Bluffing, Negotiation, Science Fiction","Alliances, Hand Management, Negotiation, Variable Player Powers","Admin: Better Description Needed!, Creatures: Aliens / Extraterrestrials, Digital Implementations: VASSAL, Game: Cosmic Encounter",1977,6.9
CATAN,Collect and trade resources to build up the island of Catan in this modern classic.,Klaus Teuber,"Volkan Baga, Tanja Donner, Pete Fenlon, Jason Hawkins + 9 more",KOSMOS + 47 more,3.0,4.0,60.0,120.0,90.0,10.0,2.3,123000,21000,"Family,  Strategy","Economic, Negotiation","Chaining, Dice Rolling, Hexagon Grid, Income, Modular Board, + 6 more","Animals: Sheep, Components: Hexagonal Tiles, Components: Wooden pieces & boards, Digital Implementations: Board Game Arena, Digital Implementations: Steam, Game: Catan, + 4 more",1995,7.1
MarraCash,Buy up market stands and attract tourists to make the most money.,Stefan Dorra,"Marion Pott, Oliver Vogel",KOSMOS,3.0,4.0,60.0,60.0,60.0,12.0,2.16,1100,409,Strategy,Economic,Auction/Bidding,"Admin: Better Description Needed!, Cities: Marrakech (Morocco), Country: Morocco",1996,6.9
Basari,Barter your way to victory in a clever game of uneven trades.,Reinhard Staupe,"John Kovalic, Lüders & Baran, Stefan Theurer","F.X. Schmid, New Games Order, LLC, Out of the Box Publishing",3.0,4.0,25.0,25.0,25.0,10.0,1.85,1700,680,"Family,  Strategy",Negotiation,"Roll / Spin and Move, Set Collection, Simultaneous Action Selection","Components: Gems/Crystals, Misc: Mensa Select, Occupation: Merchant",1998,6.8
Button Men,"Roll dice, exploit weaknesses, and beat people up.",James Ernest,"Pete Abrams, Gerald Brom, Larry Elmore, Phil Foglio + 8 more",Cheapass Games + 7 more,2.0,2.0,5.0,5.0,5.0,10.0,1.52,824,422,Customizable,"Collectible Components, Dice, Fighting, Print & Play","Dice Rolling, Push Your Luck","Admin: Better Description Needed!, Components: Polyhedral (not D6) dice, Creatures: Vampires, Digital Implementations: TableTop Simulator Mod…, Players: Two Player Only Games",1999,6.4
Wacky Wacky West,Tear up rival buildings and vote on the fate of outhouses to rebuild the town!,Klaus Teuber,"Chris McGloughlin, Franz Vohwinkel","Hans im Glück, Mayfair Games",2.0,4.0,30.0,45.0,37.5,9.0,1.82,1900,656,Family,"American West, Bluffing, City Building","Tile Placement, Voting",,1991,6.3
RoboRally,Use pre-programmed movement cards to race your robot around a hazardous factory.,Richard Garfield,"Peter Bergting, Bob Carasca, Phil Foglio, Daniel Gelon + 4 more",Wizards of the Coast + 6 more,2.0,8.0,45.0,120.0,82.5,12.0,2.43,24000,5700,"Strategy,  Thematic","Maze, Miniatures, Racing, Science Fiction","Action Queue, Bias, Grid Movement, Lose a Turn, Modular Board, + 4 more","Components: 12 x 12 Grids, Components: Miniatures, Components: Sand Timers, Theme: Robots, Theme: Sci-Fi Sports",1994,7.1
Full Metal Planète,Use metal figures to strip-mine the planet for all it's worth.,"Gérard Delfanti, Gérard Mathieu, Pascal Trigaux",Pascal Trigaux,Ludodélire,2.0,4.0,90.0,90.0,90.0,12.0,3.14,765,225,Strategy,"Miniatures, Science Fiction","Action Points, Real-Time","Admin: Better Description Needed!, Components: Miniatures, Components: Rocks/Stones, Theme: Mining",1988,7.5
Divine Right,"Diplomacy, intrigue, and the sweep of epic battles across a magical fantasy land!","Glenn Rahman, Kenneth Rahman","Kenneth Rahman, David C. Sutherland, III, David A. Trampier",Tactical Studies Rules (TSR) + 1 more,2.0,6.0,360.0,360.0,360.0,12.0,3.2,587,317,"Thematic,  Wargames","Fantasy, Political, Wargame","Dice Rolling, Events, Grid Movement, Hexagon Grid, Movement Points, + 7 more","Components: Map (Continental / National scale), Creatures: Dragons, Creatures: Goblins, Creatures: Monsters, Digital Implementations: VASSAL",1979,7.2
Magic Realm,"The granddaddy of complex RPG-style board games, now available to print-and-play!",Richard Hamblen,"George Goebel, Richard Hamblen, Kim Gromoll, Randall C. Reed, Chris White (I)",The Avalon Hill Game Co + 1 more,1.0,16.0,60.0,240.0,150.0,12.0,4.55,2100,1200,"Strategy,  Thematic","Adventure, Exploration, Fantasy, Fighting","Action Queue, Dice Rolling, Events, Modular Board, Paper-and-Pencil, + 6 more","Animals: Bats, Animals: Horses, Animals: Octopuses, Animals: Snakes, Animals: Spiders, Creatures: Dragons, + 5 more",1979,7.3
Twilight Imperium,The old empire has fallen. Build your forces and wrest control of the galaxy!,Christian T. Petersen,Bill Heagy,Fantasy Flight Games,2.0,6.0,240.0,240.0,240.0,12.0,3.44,708,311,Thematic,"Civilization, Negotiation, Political, Science Fiction, Space Exploration, Wargame","Dice Rolling, Hexagon Grid, Modular Board, Tile Placement, Variable Player Powers, Voting","Components: Hexagonal Tiles, Game: Twilight Imperium, Mechanism: 4X",1997,6.6
Gateway to the Stars,Add a Brief Description,Mark A. Snowden,,Twentieth Century Renaissance,1.0,7.0,,,,12.0,3.0,33,23,Wargames,"Civilization, Exploration, Science Fiction, Wargame",,"Admin: Better Description Needed!, Mechanism: 4X",1994,5.5
Battlemist,Add a Brief Description,Christian T. Petersen,"Bill Heagy, Christian T. Petersen",Fantasy Flight Games,2.0,6.0,200.0,200.0,200.0,12.0,3.2,326,144,"Thematic,  Wargames","Exploration, Fantasy, Wargame","Dice Rolling, Hexagon Grid","Mechanism: 4X, Setting: The Realms of Terrinoth",1998,5.9
Supremacy: The Game of the Superpowers,"A friendly game of global domination, with nukes!",Robert J. Simpson,,Supremacy Games + 2 more,2.0,6.0,120.0,300.0,210.0,12.0,3.12,1400,599,Wargames,"Economic, Modern Warfare, Political, Wargame","Commodity Speculation, Dice Rolling","Components: Map (Global Scale), Game: Supremacy, Theme: Nuclear option",1984,5.7
Age of Renaissance,Add a Brief Description,"Don Greenwood, Jared Scarborough","Stephen Langmead, Kurt Miller","The Avalon Hill Game Co, Descartes Editeur",3.0,6.0,120.0,300.0,210.0,12.0,3.85,2200,816,Strategy,"Civilization, Economic, Medieval, Renaissance","Area Movement, Auction/Bidding, Simulation",Continents: Europe,1996,7.1
Illuminati,Secret societies vie for world domination.,Steve Jackson (I),"Lar DeSouza, Jeffrey D. George, Frank Gerwin, John Grigni + 8 more",Steve Jackson Games + 9 more,2.0,6.0,60.0,180.0,120.0,12.0,2.66,5100,1400,"Strategy,  Thematic","Card Game, Humor, Negotiation, Political, Science Fiction","Dice Rolling, Network and Route Building, Open Drafting, Tile Placement, Variable Player Powers",Game: Illuminati,1987,6.5
Terrain Vague,Add a Brief Description,"Franck Parcabe, Roland Scaron",Jacques Tardi,Ludodélire,2.0,4.0,120.0,120.0,120.0,10.0,3.25,70,22,Uncategorized,"Fighting, Humor","Action Points, Modular Board",Admin: Better Description Needed!,1993,6.7
